trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
162,False,"{'a': 0.84474921647587342, 'e': 0.84474921647587342}",25,0,-45.83244204237965,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
163,False,"{'a': 0.84293419672836867, 'e': 0.84293419672836867}",25,0,-89.23792057520953,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
164,False,"{'a': 0.84111060364380674, 'e': 0.84111060364380674}",20,0,-158.06695566656498,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
165,False,"{'a': 0.83927848281191997, 'e': 0.83927848281191997}",20,0,-87.50380644269507,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
166,False,"{'a': 0.83743788003563346, 'e': 0.83743788003563346}",20,0,-65.87632223098034,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
167,False,"{'a': 0.83558884132992117, 'e': 0.83558884132992117}",20,0,-25.048808675567404,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
168,False,"{'a': 0.83373141292065411, 'e': 0.83373141292065411}",25,0,-130.32351341689855,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
169,False,"{'a': 0.83186564124344575, 'e': 0.83186564124344575}",30,14,-96.49585142772942,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 2}",1
170,False,"{'a': 0.82999157294249115, 'e': 0.82999157294249115}",20,0,-88.78068049291223,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
171,False,"{'a': 0.82810925486939979, 'e': 0.82810925486939979}",25,0,-42.79506074322958,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
